Circuit delay: 2230.00216ps

Gate slacks:
INPUT-DATAI_31_: 2250.51073 ps
INPUT-DATAI_30_: 2250.51073 ps
INPUT-DATAI_29_: 2250.51073 ps
INPUT-DATAI_28_: 2250.51073 ps
INPUT-DATAI_27_: 2250.51073 ps
INPUT-DATAI_26_: 2250.51073 ps
INPUT-DATAI_25_: 2250.51073 ps
INPUT-DATAI_24_: 2250.51073 ps
INPUT-DATAI_23_: 2250.51074 ps
INPUT-DATAI_22_: 2250.51074 ps
INPUT-DATAI_21_: 2250.51074 ps
INPUT-DATAI_20_: 2250.51074 ps
INPUT-DATAI_19_: 2250.51074 ps
INPUT-DATAI_18_: 2250.51074 ps
INPUT-DATAI_17_: 2250.51074 ps
INPUT-DATAI_16_: 2250.51074 ps
INPUT-DATAI_15_: 2382.04631 ps
INPUT-DATAI_14_: 2328.16233 ps
INPUT-DATAI_13_: 2326.55184 ps
INPUT-DATAI_12_: 2365.96353 ps
INPUT-DATAI_11_: 2365.96353 ps
INPUT-DATAI_10_: 2365.96353 ps
INPUT-DATAI_9_: 2365.96353 ps
INPUT-DATAI_8_: 2365.96353 ps
INPUT-DATAI_7_: 2248.46083 ps
INPUT-DATAI_6_: 2248.46083 ps
INPUT-DATAI_5_: 2248.46083 ps
INPUT-DATAI_4_: 2248.46083 ps
INPUT-DATAI_3_: 2248.46083 ps
INPUT-DATAI_2_: 2248.46083 ps
INPUT-DATAI_1_: 2248.46083 ps
INPUT-DATAI_0_: 2248.46083 ps
INPUT-MEMORYFETCH_REG_SCAN_IN: 2410.93466 ps
INPUT-NA_N: 2336.95063 ps
INPUT-BS16_N: 2378.14816 ps
INPUT-READY_N: 1589.44411 ps
INPUT-HOLD: 2276.96850 ps
INPUT-BE_N_REG_3__SCAN_IN: 2453.00238 ps
INPUT-BE_N_REG_2__SCAN_IN: 2453.00238 ps
INPUT-BE_N_REG_1__SCAN_IN: 2453.00238 ps
INPUT-BE_N_REG_0__SCAN_IN: 2453.00238 ps
INPUT-ADDRESS_REG_29__SCAN_IN: 2453.00238 ps
